location_id,muni_name,party_acronym,political_party_slug,political_party_long_name,seats_available,party_seats,rank
24141,San Adrián del Valle,PP,pp,PARTIDO POPULAR,5,4,1
24142,San Andrés del Rabanedo,P.S.O.E.,NA,NA,21,8,1
24144,San Cristóbal de la Polantera,PP,pp,PARTIDO POPULAR,7,5,1
24145,San Emiliano,P.S.O.E.,NA,NA,7,6,1
24146,San Esteban de Nogales,PP,pp,PARTIDO POPULAR,7,5,1
24148,San Justo de la Vega,PP,pp,PARTIDO POPULAR,9,5,1
24149,San Millán de los Caballeros,PP,pp,PARTIDO POPULAR,5,3,1
24150,San Pedro Bercianos,PP,pp,PARTIDO POPULAR,5,5,1
24143,Sancedo,P.S.O.E.,NA,NA,7,5,1
24151,Santa Colomba de Curueño,P.S.O.E.,NA,NA,7,3,1
24152,Santa Colomba de Somoza,PP,pp,PARTIDO POPULAR,7,5,1
24153,Santa Cristina de Valmadrigal,P.S.O.E.,NA,NA,7,5,1
24154,Santa Elena de Jamuz,PP,pp,PARTIDO POPULAR,9,4,1
24159,Santa Marina del Rey,P.S.O.E.,NA,NA,9,6,1
24155,Santa María de la Isla,U.P.L.,NA,NA,7,6,1
24158,Santa María de Ordás,P.S.O.E.,NA,NA,7,4,1
24156,Santa María del Monte de Cea,PP,pp,PARTIDO POPULAR,5,4,1
24157,Santa María del Páramo,U.P.L.,NA,NA,11,7,1
24160,Santas Martas,PP,pp,PARTIDO POPULAR,7,4,1
24161,Santiago Millas,PP,pp,PARTIDO POPULAR,7,4,1
24162,Santovenia de la Valdoncina,U.P.L.,NA,NA,11,4,1
24163,Sariegos,U.P.L.,NA,NA,13,5,1
24164,Sena de Luna,PP,pp,PARTIDO POPULAR,7,5,1
24165,Sobrado,PSOE,psoe,PARTIDO SOCIALISTA OBRERO ESPAÑOL,7,4,1
24166,Soto de la Vega,P.S.O.E.,NA,NA,9,5,1
24167,Soto y Amío,P.S.O.E.,NA,NA,7,5,1
24168,Toral de los Guzmanes,PP,pp,PARTIDO POPULAR,7,4,1
24206,Toral de los Vados,P.S.O.E.,NA,NA,9,7,1
24169,Toreno,P.S.O.E.,NA,NA,11,5,1
24170,Torre del Bierzo,C.Bierzo,NA,NA,11,5,1
24171,Trabadelo,P.S.O.E.,NA,NA,7,4,1
24172,Truchas,P.S.O.E.,NA,NA,7,6,1
24173,Turcia,P.S.O.E.,NA,NA,9,7,1
24174,Urdiales del Páramo,P.S.O.E.,NA,NA,7,5,1
24185,Val de San Lorenzo,P.S.O.E.,NA,NA,7,3,1
24175,Valdefresno,P.S.O.E.,NA,NA,11,4,1
24176,Valdefuentes del Páramo,PP,pp,PARTIDO POPULAR,7,5,1
24177,Valdelugueros,PP,pp,PARTIDO POPULAR,7,4,1
24179,Valdepiélago,PP,pp,PARTIDO POPULAR,7,6,1
24180,Valdepolo,PP,pp,PARTIDO POPULAR,9,5,1
24181,Valderas,P.S.O.E.,NA,NA,9,5,1
24182,Valderrey,CRA,cra,CIUDADANOS RURALES AGRUPADOS,7,4,1
24183,Valderrueda,PP,pp,PARTIDO POPULAR,7,3,1
24184,Valdesamario,PP,pp,PARTIDO POPULAR,5,4,1
24187,Valdevimbre,P.S.O.E.,NA,NA,9,4,1
24188,Valencia de Don Juan,P.S.O.E.,NA,NA,13,7,1
24191,Vallecillo,PP,pp,PARTIDO POPULAR,5,4,1
24189,Valverde de la Virgen,PP,pp,PARTIDO POPULAR,13,8,1
24190,Valverde-Enrique,PP,pp,PARTIDO POPULAR,5,4,1
24193,"Vecilla, La",PP,pp,PARTIDO POPULAR,7,4,1
24196,Vega de Espinareda,P.S.O.E.,NA,NA,11,7,1
24197,Vega de Infanzones,PP,pp,PARTIDO POPULAR,7,5,1
24198,Vega de Valcarce,P.S.O.E.,NA,NA,7,5,1
24194,Vegacervera,P.S.O.E.,NA,NA,7,7,1
24199,Vegaquemada,PP,pp,PARTIDO POPULAR,7,5,1
24201,Vegas del Condado,P.S.O.E.,NA,NA,9,7,1
24202,Villablino,P.S.O.E.,NA,NA,13,7,1
24203,Villabraz,APMV,NA,NA,3,3,1
24205,Villadangos del Páramo,PP,pp,PARTIDO POPULAR,9,5,1
24207,Villademor de la Vega,Cs,NA,NA,7,3,1
24209,Villafranca del Bierzo,PP,pp,PARTIDO POPULAR,11,6,1
24210,Villagatón,P.S.O.E.,NA,NA,7,5,1
